model,mean_reward,std_reward,mean_travel_minutes,std_travel_minutes,mean_wait_minutes,std_wait_minutes,mean_charge_minutes,std_charge_minutes,mean_total_time_minutes,std_total_time_minutes,mean_estimated_cost_inr,std_estimated_cost_inr,mean_failure_rate,std_failure_rate,mean_average_queue,std_average_queue,mean_maximum_queue,std_maximum_queue,mean_mean_utilization,std_mean_utilization,mean_utilization_imbalance,std_utilization_imbalance,success_rate,verdict
Maximum Free,87.4973914077015,1.5924376318888662,12.996365105233725,0.7041033686958551,0.0,0.0,36.32318870295692,1.5301277946478702,49.31955380819064,2.035400931142853,451.31804684361805,31.80845133129469,0.0,0.0,0.0,0.0,0.0,0.0,0.2424,0.007953444785161771,0.2427134846201004,0.0009126050116323246,1.0,Good: reward is at least 75 and meaningfully beats Random.
Cheapest,87.4973914077015,1.5924376318888662,12.996365105233725,0.7041033686958551,0.0,0.0,36.32318870295692,1.5301277946478702,49.31955380819064,2.035400931142853,451.31804684361805,31.80845133129469,0.0,0.0,0.0,0.0,0.0,0.0,0.2424,0.007953444785161771,0.2427134846201004,0.0009126050116323246,1.0,Good: reward is at least 75 and meaningfully beats Random.
Weighted Greedy,85.99588357092674,1.4896071678803477,8.069226294793328,0.5149205919403267,0.07490687055445637,0.07756686426666261,37.428583531703374,1.7621038362014276,45.57271669705117,1.7306097784975012,463.72652707120244,31.569984251393837,0.0,0.0,0.0012444444444444445,0.0012057475525556033,0.6,0.48989794855663565,0.24764444444444442,0.006933333333333336,0.3031126093266633,0.005822620194353472,1.0,Good: reward is at least 75 and meaningfully beats Random.
Minimum Queue,84.60536925748158,1.6900511227462305,7.734416833690558,0.5164825181832855,0.8206994567475956,0.2602280435047959,38.23608627817964,1.5684313539864365,46.791202568617805,1.6615017919314539,472.5800077100336,33.030484549633314,0.0,0.0,0.013155555555555556,0.004476330066493928,1.0,0.0,0.2510222222222222,0.0038888253963070885,0.32435930223382875,0.008614866250755401,1.0,Good: reward is at least 75 and meaningfully beats Random.
Nearest,84.29151004198374,1.5575969657011643,7.683261334249394,0.5375679679605982,1.1971810515281036,0.49594801737229444,38.21292979859696,1.8310569077804193,47.09337218437447,1.9818734903274182,474.670474595574,32.656890593156305,0.0,0.0,0.019022222222222225,0.007761379538824205,1.6,0.4898979485566356,0.2503111111111111,0.005482362291594397,0.326711332614669,0.008826210443967433,1.0,Good: reward is at least 75 and meaningfully beats Random.
DQN,82.74090358496258,1.417684606244767,13.279587223154596,0.7601846167093135,2.584336586738916,1.6611006040270822,37.63109382182391,0.7574969395131244,53.49501763171743,1.5419208703419058,475.93610619441125,30.977384979243137,0.0,0.0,0.03217777777777778,0.016423049144719645,2.8,0.7483314773547882,0.2462222222222222,0.00845613226241799,0.33029761775224104,0.006511767513318283,1.0,Good: reward is at least 75 and meaningfully beats Random.
PPO,82.74090358496258,1.417684606244767,13.279587223154596,0.7601846167093135,2.584336586738916,1.6611006040270822,37.63109382182391,0.7574969395131244,53.49501763171743,1.5419208703419058,475.93610619441125,30.977384979243137,0.0,0.0,0.03217777777777778,0.016423049144719645,2.8,0.7483314773547882,0.2462222222222222,0.00845613226241799,0.33029761775224104,0.006511767513318283,1.0,Good: reward is at least 75 and meaningfully beats Random.
Random,78.11460061325742,2.0037927920413687,28.334747373479644,1.333906114236832,7.0033665965593555,3.7473570080463783,41.37927844730306,2.33948252929024,76.71739241734205,5.175857225640148,486.36808028337344,35.40997866306735,0.0,0.0,0.09404444444444446,0.051648651578492764,3.4,0.8,0.26284444444444444,0.009426414161844221,0.35404080457423504,0.01139485590445193,1.0,"Acceptable: strong absolute reward, but no clear advantage over Random."
A2C,73.54065514052255,2.741595078436322,41.17473128962807,1.6340116239034201,10.103305353453527,9.884621051994193,34.696452899469854,2.6184747983475116,85.97448954255144,11.462530097734962,501.64737606653654,36.12887039981423,0.0,0.0,0.13511111111111113,0.1174396824431405,4.4,2.33238075793812,0.22471111111111114,0.009912605766720445,0.3520958434719153,0.010686419563268282,1.0,Needs improvement: mean reward is below 75.
